numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0010826T;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;01004;Ambérieu-en-Bugey;CTRE DE FORMATION D'APPRENTIS;CECOF BERNARD PALISSY;85052026300011;25288;;;52 avenue de la Libération;BP209;01502;AMBERIEU EN BUGEY CEDEX
0010856A;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;01289;Péronnas;CTRE DE FORMATION D'APPRENTIS;DE L'INDUSTRIE AFPMA;77931004400028;25288;;;1  ALLÉE DES TYRANDES;CS90002;01960;PERONNAS
0010965U;600;06;ministère de l'éducation nationale;36;ministère du travail, de l'emploi et de la formation professionnelle;PR;1;UAI célibataire;01053;Bourg-en-Bresse;CTRE DE FORMATION D'APPRENTIS;DU BTP AIN;41884676200056;26688;;;98  RUE DES COMPAGNONS;;01000;BOURG EN BRESSE
0021502X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;02408;Laon;CTR DE FORMATION D APPRENTIS;DE LA CCIA;13002271800279;28034;;;3 rue DES MINIMES;;02000;LAON
0021739E;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;02408;Laon;CTR DE FORMATION D APPRENTIS;BTP CFA 02;50260294900047;27317;;;Chemin D AULNOIS;BP152;02000;LAON
0021923E;600;03;ministère de l'agriculture;;;PR;2;UAI mère;02408;Laon;CTR FORMATION APPRENTIS AGRI.;CFA.AGRICOLE;39964840100012;30719;;;1  RUE RENE BLONDELLE;;02007;LAON CEDEX
0030124U;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;03013;Avermes;CTR DE FORMATION D'APPRENTIS;I.F.I 03;41055004000019;25315;;;11 route de Paris;;03000;AVERMES
0030126W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;03023;Bellerive-sur-Allier;CFA ECOLE DES METIERS DU BAT.;BTP CFA ALLIER;40222747400010;25315;;;12 ROUTE DE CHARMEIL;;03700;BELLERIVE SUR ALLIER
0031030D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;03098;Désertines;CTR DE FORMATION D'APPRENTIS;AFPI - CFAI;77928324100056;32517;;;62 rue Henri Barbusse;BP17;03630;DESERTINES
0040161D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;04070;Digne-les-Bains;CENTRE DE FORMATION DES APPREN;CAMPUS DE DIGNE - RENE VILLENE;18040003800022;25322;;;15  RUE MALDONNAT;BP126;04004;DIGNE LES BAINS CEDEX
