IDCC;Opérateur de compétences;Libellé;obs
3;OPCO Mobilité;Convention collective nationale des ouvriers de la navigation intérieure de marchandises;
16;OPCO Mobilité;Convention collective nationale des transports routiers et activités auxiliaires du transport;
18;OPCO 2i;Convention collective nationale des industries textiles;
29;OPCO Santé;Convention collective nationale des établissements privés d'hospitalisation, de soins, de cure et de garde à but non lucratif (FEHAP, convention de 1951);
43;OPCO Commerce;Convention collective nationale des entreprises de commerce et de commission importation exportation;
44;OPCO 2i;Convention collective nationale des industries chimiques et connexes;
45;OPCO 2i;Convention collective nationale du caoutchouc;
83;OPCO 2i;Convention collective nationale des menuiseries charpentes et constructions industrialisées et des portes planes;
86;AFDAS;Convention collective nationale des entreprises de publicité et assimilées;
87;OPCO 2i;Convention collective nationale des ouvriers des industries de carrières et de matériaux;
112;OCAPIAT;Convention collective nationale de l'industrie laitière;
135;OPCO 2i;Convention collective nationale des employés techniciens et agents de maîtrise des industries de carrières et de matériaux;
158;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale du travail mécanique du bois, des scieries, du négoce et de l'importation des bois;
176;OPCO 2i;Convention collective nationale de l'industrie pharmaceutique;
184;OPCO entreprises de proximité;Convention collective nationale de l'imprimerie de labeur et des industries graphiques;
200;OCAPIAT;Convention collective nationale des exploitations frigorifiques;
207;OPCO 2i;Convention collective nationale de l'industrie des cuirs et peaux;
211;OPCO 2i;Convention collective nationale des cadres des industries de carrières et matériaux (UNICEM);
214;AFDAS;Convention collective des ouvriers des entreprises de presse de la région parisienne;
218;OPCO Cohésion sociale;Convention collective nationale des organismes de sécurité sociale;
240;OPCO entreprises de proximité;Convention collective nationale du personnel des greffes des tribunaux de commerce;
247;OPCO 2i;Convention collective nationale des industries de l'habillement;
275;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale du personnel au sol des entreprises de transport aérien;
292;OPCO 2i;Convention collective nationale de la plasturgie (transformation des matières plastiques);
303;OPCO 2i;Convention collective régionale de la couture parisienne;
306;AFDAS;Convention collective des cadres techniques de la presse quotidienne parisienne;
363;OPCO 2i;Convention collective nationale du personnel ingénieurs et cadres de l'industrie de la fabrication des ciments;
394;AFDAS;Convention collective des employés de la presse quotidienne parisienne;
405;OPCO Santé;Convention collective nationale des établissements médico-sociaux de l'union intersyndicale des secteurs sanitaires et sociaux (UNISSS, FFESCPE, convention de 1965, enfants, adolescents);
412;OPCO Mobilité;Convention collective nationale de travail des guides accompagnateurs et accompagnateurs au service des agences de voyages et de tourisme;
413;OPCO Santé;Convention collective nationale de travail des établissements et services pour personnes inadaptées et handicapées (convention de 1966, SNAPEI);
438;OPCO ATLAS;Convention collective nationale de travail des échelons intermédiaires des services extérieurs de production des sociétés d'assurances;
454;OPCO entreprises de proximité;Convention collective nationale des remontées mécaniques et domaines skiables;
468;OPCO Commerce;Convention collective du commerce succursaliste de la chaussure;
478;OPCO ATLAS;Convention collective nationale des sociétés financières;
489;OPCO 2i;Convention collective du personnel des industries du cartonnage;
493;OCAPIAT;Convention collective nationale des vins, cidres, jus de fruits, sirops, spiritueux et liqueurs de France;
500;OPCO Commerce;Convention collective nationale des commerces de gros de l'habillement, de la mercerie, de la chaussure et du jouet;
509;AFDAS;Convention collective des cadres administratifs de la presse quotidienne parisienne;
538;OPCO Mobilité;Convention collective nationale du personnel des entreprises de manutention ferroviaire et travaux connexes;
567;OPCO 2i;Convention collective nationale de la bijouterie, joaillerie, orfèvrerie et des activités qui s'y rattachent;
573;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des commerces de gros;
598;AFDAS;Convention collective nationale de travail des ouvriers de la presse quotidienne régionale;
614;OPCO entreprises de proximité;Convention collective nationale des industries de la sérigraphie et des procédés d'impression numérique connexes;
635;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale du négoce en fournitures dentaires;
637;OPCO 2i;Convention collective des industries et du commerce de la récupération (recyclage, régions Nord-Pas-de-Calais, Picardie);
653;OPCO ATLAS;Convention collective de travail des producteurs salariés de base des services extérieurs de production des sociétés d'assurances;
669;OPCO 2i;Convention collective nationale des industries de fabrication mécanique du verre;
675;OPCO Commerce;Convention collective nationale des maisons à succursales de vente au détail d'habillement;
693;AFDAS;Convention collective de travail des employés de la presse quotidienne départementale;
698;AFDAS;Convention collective de travail des employés de la presse quotidienne régionale;
700;OPCO 2i;Convention collective nationale des ingénieurs et cadres de la production des papiers, cartons et celluloses;
706;OPCO Commerce;Convention collective nationale du personnel de la reprographie;
707;OPCO 2i;Convention collective nationale des ingénieurs et cadres de la transformation des papiers cartons et de la pellicule cellulosique;
715;OPCO 2i;Convention collective nationale des instruments à écrire et des industries connexes;
716;AFDAS;Convention collective nationale des employés et ouvriers de la distribution cinématographique;
731;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, cadres;
733;OPCO entreprises de proximité;Convention collective nationale des détaillants en chaussure;
759;OPCO entreprises de proximité;Convention collective nationale des pompes funèbres;
779;OPCO Mobilité;Convention collective de travail du personnel des voies ferrées d'intérêt local;
781;AFDAS;Convention collective des cadres administratifs de la presse quotidienne départementale;
783;OPCO Santé;Convention collective des centres d'hébergement et de réadaptation sociale et dans les services d'accueil, d'orientation et d'insertion pour adultes (CHRS, SOP);
787;OPCO ATLAS;Convention collective nationale des cabinets d'experts-comptables et de commissaires aux comptes;
802;OPCO 2i;Convention collective nationale de la distribution de papiers-cartons commerces de gros pour les ouvriers, employés, techniciens et agents de maîtrise;
832;OPCO 2i;Convention collective nationale du personnel ouvrier de l'industrie de la fabrication des ciments;
833;OPCO 2i;Convention collective nationale du personnel employés, techniciens, dessinateurs et agents de maîtrise de l'industrie de la fabrication des ciments;
843;OPCO entreprises de proximité;Convention collective nationale de la boulangerie-pâtisserie -entreprises artisanales-;
892;AFDAS;Convention collective nationale des cadres et agents de maîtrise de la distribution de films de l'industrie cinématographique;
